"Pin Number","Pin ID","Custom Name","Function","Direction","Latch","Open Drain","PIO Interrupt","Pull Up","Pull Down","Glitch/Debounce Filter",Drive Strength
1,PD0,,Available,In,,,,,,,
2,PD31,QSPI_IO3,QSPI_QIO3,n/a,n/a,No,Disabled,No,No,Disabled,Low
4,PE0,SMC_D8,EBI_D8,n/a,n/a,No,Disabled,No,No,Disabled,Low
6,PE1,SMC_D9,EBI_D9,n/a,n/a,No,Disabled,No,No,Disabled,Low
7,PE2,SMC_D10,EBI_D10,n/a,n/a,No,Disabled,No,No,Disabled,Low
10,PE3,SMC_D11,EBI_D11,n/a,n/a,No,Disabled,No,No,Disabled,Low
11,PC0,SMC_D0,EBI_D0,n/a,n/a,No,Disabled,No,No,Disabled,Low
12,PC27,SMC_A8,EBI_A9,n/a,n/a,No,Disabled,No,No,Disabled,Low
13,PC26,SMC_A7,EBI_A8,n/a,n/a,No,Disabled,No,No,Disabled,Low
14,PC31,SMC_A12,EBI_A13,n/a,n/a,No,Disabled,No,No,Disabled,Low
15,PC30,SMC_A11,EBI_A12,n/a,n/a,No,Disabled,No,No,Disabled,Low
16,PC29,SMC_A10,EBI_A11,n/a,n/a,No,Disabled,No,No,Disabled,Low
17,PC12,,MCAN1_CANRX1,n/a,n/a,No,Disabled,No,No,Disabled,Low
18,PC15,SMC_CS1,EBI_NCS1,n/a,n/a,No,Disabled,No,No,Disabled,Low
19,PC13,,Available,In,,,,,,,
20,PB1,AFEC1_AD0,AFEC1_AD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
21,PB0,,Available,In,,,,,,,
22,PA20,SMC_A15,EBI_A16,n/a,n/a,No,Disabled,No,No,Disabled,Low
23,PA19,SMC_A14,EBI_A15,n/a,n/a,No,Disabled,No,No,Disabled,Low
24,PA18,SMC_A13,EBI_A14,n/a,n/a,No,Disabled,No,No,Disabled,Low
25,PA17,QSPI_IO2,QSPI_QIO2,n/a,n/a,No,Disabled,No,No,Disabled,Low
26,PB2,,MCAN0_CANTX0,n/a,n/a,No,Disabled,No,No,Disabled,Low
27,PE4,SMC_D12,EBI_D12,n/a,n/a,No,Disabled,No,No,Disabled,Low
28,PE5,SMC_D13,EBI_D13,n/a,n/a,No,Disabled,No,No,Disabled,Low
31,PB3,,MCAN0_CANRX0,n/a,n/a,No,Disabled,No,No,Disabled,Low
32,PA21,Error_MMCU,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
34,PD30,AFEC0_AD0,AFEC0_AD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
35,PA7,,Available,In,,,,,,,
36,PA8,,Available,In,,,,,,,
37,PA22,SMC_CS2,EBI_NCS2,n/a,n/a,No,Disabled,No,No,Disabled,Low
38,PC1,SMC_D1,EBI_D1,n/a,n/a,No,Disabled,No,No,Disabled,Low
39,PC2,SMC_D2,EBI_D2,n/a,n/a,No,Disabled,No,No,Disabled,Low
40,PC3,SMC_D3,EBI_D3,n/a,n/a,No,Disabled,No,No,Disabled,Low
41,PC4,SMC_D4,EBI_D4,n/a,n/a,No,Disabled,No,No,Disabled,Low
42,PA13,QSPI_IO0,QSPI_QIO0,n/a,n/a,No,Disabled,No,No,Disabled,Low
45,PA16,SMC_D15,EBI_D15,n/a,n/a,No,Disabled,No,No,Disabled,Low
46,PA23,SMC_A18,EBI_A19,n/a,n/a,No,Disabled,No,No,Disabled,Low
47,PD27,,TWIHS2_TWD2,n/a,n/a,No,Disabled,No,No,Disabled,Low
48,PC7,SMC_D7,EBI_D7,n/a,n/a,No,Disabled,No,No,Disabled,Low
49,PA15,SMC_D14,EBI_D14,n/a,n/a,No,Disabled,No,No,Disabled,Low
51,PA14,QSPI_CLK,QSPI_QSCK,n/a,n/a,No,Disabled,No,No,Disabled,Low
52,PD25,SPI0_CS,GPIO,Out,High,No,Disabled,Yes,No,Disabled,Low
53,PD26,,Available,In,,,,,,,
54,PC6,SMC_D6,EBI_D6,n/a,n/a,No,Disabled,No,No,Disabled,Low
55,PD24,ALERT_EXP1,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
56,PA24,SMC_A19,EBI_A20,n/a,n/a,No,Disabled,No,No,Disabled,Low
57,PD23,Status_MMCU,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
58,PC5,SMC_D5,EBI_D5,n/a,n/a,No,Disabled,No,No,Disabled,Low
59,PA25,,HSMCI_MCCK,n/a,n/a,No,Disabled,No,No,Disabled,Low
60,PD22,SPI0_CLK,SPI0_SPCK,n/a,n/a,No,Disabled,No,No,Disabled,Low
62,PA26,,HSMCI_MCDA2,n/a,n/a,No,Disabled,No,No,Disabled,Low
63,PD21,SPI0_MOSI,SPI0_MOSI,n/a,n/a,No,Disabled,No,No,Disabled,Low
64,PA11,QSPI_CS,QSPI_QCS,n/a,n/a,No,Disabled,No,No,Disabled,Low
65,PD20,SPI0_MISO,SPI0_MISO,n/a,n/a,No,Disabled,No,No,Disabled,Low
66,PA10,,UART0_UTXD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
67,PD19,,UART4_UTXD4,n/a,n/a,No,Disabled,No,No,Disabled,Low
68,PA12,QSPI_IO1,QSPI_QIO1,n/a,n/a,No,Disabled,No,No,Disabled,Low
69,PD18,,UART4_URXD4,n/a,n/a,No,Disabled,No,No,Disabled,Low
70,PA27,,HSMCI_MCDA3,n/a,n/a,No,Disabled,No,No,Disabled,Low
71,PD28,,TWIHS2_TWCK2,n/a,n/a,No,Disabled,No,No,Disabled,Low
73,PA5,,UART1_URXD1,n/a,n/a,No,Disabled,No,No,Disabled,Low
74,PD17,RS485_DriverEnable,GPIO,Out,Low,No,Disabled,No,No,Disabled,High
75,PA9,,UART0_URXD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
76,PC28,SMC_A9,EBI_A10,n/a,n/a,No,Disabled,No,No,Disabled,Low
77,PA4,,TWIHS0_TWCK0,n/a,n/a,No,Disabled,No,No,Disabled,Low
78,PD16,ALERT_EXP2,GPIO,In,n/a,No,Disabled,No,No,Disabled,Low
79,PB6,,ICE_TMS/SWDIO,n/a,n/a,No,Disabled,No,No,Disabled,Low
82,PC8,SMC_WE,EBI_NWR0/NWE,n/a,n/a,No,Disabled,No,No,Disabled,Low
84,PD14,ALUC_RES_MMCU,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
86,PC9,SMC_ZZ,EBI_NANDOE,n/a,n/a,No,Disabled,No,No,Disabled,Low
87,PB12,,Available,In,,,,,,,
88,PD13,,Available,In,,,,,,,
89,PB7,,ICE_TCK/SWDCLK,n/a,n/a,No,Disabled,No,No,Disabled,Low
90,PC10,,Available,In,,,,,,,
91,PA3,,TWIHS0_TWD0,n/a,n/a,No,Disabled,No,No,Disabled,Low
92,PD12,EnablePin,GPIO,Out,Low,No,Disabled,No,No,Disabled,Low
93,PA2,,Available,In,,,,,,,
94,PC11,SMC_OE,EBI_NRD,n/a,n/a,No,Disabled,No,No,Disabled,Low
97,PC14,,MCAN1_CANTX1,n/a,n/a,No,Disabled,No,No,Disabled,Low
98,PD11,,Available,In,,,,,,,
99,PA1,SMC_A17,EBI_A18,n/a,n/a,No,Disabled,No,No,Disabled,Low
100,PC16,SMC_A20,EBI_A21/NANDALE,n/a,n/a,No,Disabled,No,No,Disabled,Low
101,PD10,,Available,In,,,,,,,
102,PA0,SMC_A16,EBI_A17,n/a,n/a,No,Disabled,No,No,Disabled,Low
103,PC17,SMC_A21,EBI_A22/NANDCLE,n/a,n/a,No,Disabled,No,No,Disabled,Low
105,PB4,,TWIHS1_TWD1,n/a,n/a,No,Disabled,No,No,Disabled,Low
106,PD15,SMC_UB,EBI_NWR1/NBS1,n/a,n/a,No,Disabled,No,No,Disabled,Low
108,PD29,,Available,In,,,,,,,
109,PB5,,TWIHS1_TWCK1,n/a,n/a,No,Disabled,No,No,Disabled,Low
110,PD9,,Available,In,,,,,,,
111,PC18,SMC_LB,EBI_A0/NBS0,n/a,n/a,No,Disabled,No,No,Disabled,Low
112,PA28,,HSMCI_MCCDA,n/a,n/a,No,Disabled,No,No,Disabled,Low
113,PD8,,Available,In,,,,,,,
114,PA6,,UART1_UTXD1,n/a,n/a,No,Disabled,No,No,Disabled,Low
116,PA30,,HSMCI_MCDA0,n/a,n/a,No,Disabled,No,No,Disabled,Low
117,PC19,SMC_A0,EBI_A1,n/a,n/a,No,Disabled,No,No,Disabled,Low
118,PA31,,HSMCI_MCDA1,n/a,n/a,No,Disabled,No,No,Disabled,Low
119,PD7,,Available,In,,,,,,,
120,PC20,SMC_A1,EBI_A2,n/a,n/a,No,Disabled,No,No,Disabled,Low
121,PD6,,Available,In,,,,,,,
122,PC21,SMC_A2,EBI_A3,n/a,n/a,No,Disabled,No,No,Disabled,Low
124,PC22,SMC_A3,EBI_A4,n/a,n/a,No,Disabled,No,No,Disabled,Low
125,PD5,,Available,In,,,,,,,
126,PD4,,Available,In,,,,,,,
127,PC23,SMC_A4,EBI_A5,n/a,n/a,No,Disabled,No,No,Disabled,Low
